feature,mi_score
GATS7c,0.32943660788837903
MATS4pe,0.3274117326063175
IC1,0.3272696732947895
AATSC6dv,0.322887096549505
fMF,0.32163551864200457
ATS7s,0.3215772569991504
PEOE_VSA6,0.32071462687759267
ABC,0.3202730690737132
AATS5i,0.31904748230414715
AXp-4d,0.31734258044242614
TIC1,0.31711149629149693
VSA_EState4,0.3156678557232304
AATSC5c,0.31232984604422276
MAXsCH3,0.3111992683260758
GGI4,0.31036054603400265
GATS1c,0.3089022136798314
GGI3,0.3084553238226748
PEOE_VSA9,0.30727479872122965
CIC1,0.30406121912473827
Xp-6dv,0.30295518316694103
AATSC2v,0.30260695192480336
RPCG,0.3023421313474399
MDEC-13,0.30184862330603934
AATSC3Z,0.30023569699143016
MDEC-12,0.2993043074639141
Xp-3d,0.2988281458313473
MDEC-11,0.29829642008615176
AATS7se,0.297709794776877
piPC3,0.2964059560615677
AATSC3v,0.292870171883596
VSA_EState5,0.29257283192499584
AATSC2dv,0.2916785467695582
ATSC7se,0.29163851069204005
NsCH3,0.2912744994976575
AATSC1dv,0.29126973196054307
AATS0s,0.29116582177410466
MATS2d,0.2889287009658559
AATSC0i,0.2886633843241211
ETA_eta_F,0.28800367808124117
AATS7s,0.2872633051208804
n6Ring,0.28707497006854465
ETA_shape_p,0.2842538396958134
AATSC0dv,0.2817626670949771
AXp-6d,0.28157974251357754
C1SP3,0.27913115397067445
AATSC1s,0.2779734950556403
AETA_eta_R,0.2775898985541865
AXp-1dv,0.2773635688059106
AATSC4v,0.2762865585360972
MINsssCH,0.2743427032492063
nBondsD,0.27107523285961577
IC4,0.2706882360643532
IC3,0.2703942186245274
GATS2d,0.2670771742783149
ATS2s,0.2668624827962489
GATS3dv,0.26654195779021084
Xp-6d,0.2649875987880539
AATS4v,0.2624389378809986
AATSC4dv,0.26156749988310546
AATS6dv,0.2612166013579027
FilterItLogS,0.25992694903069813
ATSC2Z,0.2596695833890408
GATS6dv,0.25923766263065096
AATSC5p,0.25882562345994975
AATS6se,0.25622993612499867
nHetero,0.2551339676532898
AATS1p,0.2527743104686877
ATS6s,0.251799342309317
AATSC4s,0.2516122607847673
PEOE_VSA1,0.2515634181698032
AATS5s,0.2512923986513127
AATS4dv,0.2508407581125227
AATSC5se,0.24928544465905667
nRot,0.24863357179486512
GATS3v,0.24852038984243574
AATS1se,0.24005701054793338
ATSC3s,0.23995816091476962
AATSC4d,0.23860333345681095
MAXdssC,0.23796685776400084
NssO,0.2378739374840606
BCUTi-1h,0.23718011169038222
piPC6,0.2366887180418078
RNCG,0.2357671357311042
SIC2,0.23570789181602025
AATSC5v,0.23552326157818282
ATSC2dv,0.2352453491952553
NsssCH,0.2332228345052454
SLogP,0.23269759473504115
AATSC3d,0.23235845730508586
